id 	 label 	 feature
230	bin230	nuclear_DNA
231	bin231	nuclear_DNA
232	bin232	nuclear_DNA
233	bin233	nuclear_DNA
234	bin234	nuclear_DNA
235	bin235	nuclear_DNA
236	bin236	nuclear_DNA
237	bin237	nuclear_DNA
238	bin238	nuclear_DNA
239	bin239	nuclear_DNA
240	bin240	nuclear_DNA
241	bin241	nuclear_DNA
242	bin242	nuclear_DNA
243	bin243	nuclear_DNA
244	bin244	nuclear_DNA
245	bin245	nuclear_DNA
246	bin246	nuclear_DNA
247	bin247	nuclear_DNA
248	bin248	nuclear_DNA
249	bin249	nuclear_DNA
250	bin250	nuclear_DNA
251	bin251	nuclear_DNA
252	bin252	nuclear_DNA
253	bin253	nuclear_DNA
254	bin254	nuclear_DNA
255	bin255	nuclear_DNA
256	bin256	nuclear_DNA
257	bin257	nuclear_DNA
258	bin258	nuclear_DNA
259	bin259	nuclear_DNA
260	bin260	nuclear_DNA
261	bin261	nuclear_DNA
262	bin262	nuclear_DNA
263	bin263	nuclear_DNA
264	bin264	nuclear_DNA
265	bin265	nuclear_DNA
266	bin266	nuclear_DNA
267	bin267	nuclear_DNA
268	bin268	nuclear_DNA
269	bin269	nuclear_DNA
270	bin270	nuclear_DNA
271	bin271	nuclear_DNA
272	bin272	nuclear_DNA
273	bin273	nuclear_DNA
274	bin274	nuclear_DNA
275	bin275	nuclear_DNA
276	bin276	nuclear_DNA
277	bin277	nuclear_DNA
278	bin278	nuclear_DNA
279	bin279	nuclear_DNA
280	bin280	nuclear_DNA
281	bin281	nuclear_DNA
282	bin282	nuclear_DNA
283	bin283	nuclear_DNA
284	bin284	nuclear_DNA
285	bin285	nuclear_DNA
286	bin286	nuclear_DNA
287	bin287	nuclear_DNA
288	bin288	nuclear_DNA
289	bin289	nuclear_DNA
290	bin290	nuclear_DNA
291	bin291	nuclear_DNA
292	bin292	nuclear_DNA
293	bin293	nuclear_DNA
294	bin294	nuclear_DNA
295	bin295	nuclear_DNA
296	bin296	nuclear_DNA
297	bin297	nuclear_DNA
298	bin298	nuclear_DNA
299	bin299	nuclear_DNA
300	bin300	nuclear_DNA
301	bin301	nuclear_DNA
302	bin302	nuclear_DNA
303	bin303	nuclear_DNA
304	bin304	nuclear_DNA
305	bin305	nuclear_DNA
306	bin306	nuclear_DNA
307	bin307	nuclear_DNA
308	bin308	nuclear_DNA
309	bin309	nuclear_DNA
310	bin310	nuclear_DNA
311	bin311	nuclear_DNA
312	bin312	nuclear_DNA
313	bin313	nuclear_DNA
314	bin314	nuclear_DNA
315	bin315	nuclear_DNA
316	bin316	nuclear_DNA
317	bin317	nuclear_DNA
318	bin318	nuclear_DNA
319	bin319	nuclear_DNA
320	bin320	nuclear_DNA
321	bin321	nuclear_DNA
322	bin322	nuclear_DNA
323	bin323	nuclear_DNA
324	bin324	nuclear_DNA
325	bin325	nuclear_DNA
326	bin326	nuclear_DNA
327	bin327	nuclear_DNA
328	bin328	nuclear_DNA
329	bin329	nuclear_DNA
330	bin330	nuclear_DNA
331	bin331	nuclear_DNA
332	bin332	nuclear_DNA
333	bin333	nuclear_DNA
334	bin334	nuclear_DNA
335	bin335	nuclear_DNA
336	bin336	nuclear_DNA
337	bin337	nuclear_DNA
338	bin338	nuclear_DNA
